landmark_index, pred, ww, wm, mm, mw
1, 0, 44, 0, 0, 35
2, 0, 44, 0, 0, 35
3, 0, 44, 0, 0, 35
4, 1, 44, 0, 35, 0
5, 1, 44, 0, 35, 0
6, 1, 44, 0, 35, 0
7, 0, 44, 0, 0, 35
8, 0, 44, 0, 0, 35
9, 1, 44, 0, 35, 0
10, 1, 44, 0, 35, 0
11, 1, 43, 1, 34, 1
12, 1, 44, 0, 35, 0
13, 1, 43, 1, 35, 0
14, 1, 43, 1, 34, 1
15, 1, 43, 1, 34, 1
16, 0, 44, 0, 0, 35
17, 1, 40, 4, 34, 1
18, 1, 15, 29, 34, 1
19, 1, 18, 26, 33, 2
20, 1, 21, 23, 32, 3
21, 1, 27, 17, 31, 4
22, 1, 38, 6, 32, 3
23, 1, 44, 0, 32, 3
24, 1, 37, 7, 34, 1
25, 1, 31, 13, 30, 5
26, 1, 36, 8, 30, 5
27, 1, 33, 11, 30, 5
28, 1, 37, 7, 27, 8
29, 1, 37, 7, 25, 10
30, 1, 28, 16, 29, 6
31, 1, 41, 3, 26, 9
32, 1, 27, 17, 31, 4
33, 0, 37, 7, 25, 10
34, 0, 39, 5, 23, 12
35, 1, 40, 4, 24, 11
36, 1, 36, 8, 24, 11
37, 1, 36, 8, 26, 9
38, 1, 39, 5, 18, 17
39, 0, 40, 4, 17, 18
40, 1, 32, 12, 28, 7
41, 1, 35, 9, 27, 8
42, 1, 38, 6, 23, 12
43, 0, 33, 11, 27, 8
44, 1, 35, 9, 16, 19
45, 1, 35, 9, 21, 14
46, 1, 35, 9, 26, 9
47, 1, 37, 7, 23, 12
48, 1, 35, 9, 27, 8
49, 1, 38, 6, 23, 12
50, 1, 37, 7, 23, 12
51, 1, 34, 10, 26, 9
52, 1, 35, 9, 22, 13
53, 1, 38, 6, 25, 10
54, 1, 34, 10, 19, 16
55, 1, 40, 4, 17, 18
56, 1, 36, 8, 28, 7
57, 1, 40, 4, 20, 15
58, 1, 34, 10, 27, 8
59, 1, 40, 4, 18, 17
60, 0, 41, 3, 19, 16
61, 1, 35, 9, 27, 8
62, 1, 35, 9, 23, 12
63, 1, 38, 6, 15, 20
64, 1, 39, 5, 17, 18
65, 1, 38, 6, 26, 9
66, 1, 38, 6, 22, 13
67, 1, 38, 6, 16, 19
68, 1, 37, 7, 15, 20
69, 1, 39, 5, 22, 13
70, 1, 32, 12, 23, 12
71, 1, 31, 13, 25, 10
72, 1, 30, 14, 25, 10
73, 1, 35, 9, 23, 12
74, 1, 39, 5, 19, 16
75, 1, 40, 4, 14, 21
76, 0, 44, 0, 0, 35
77, 1, 34, 10, 22, 13
78, 1, 35, 9, 22, 13
79, 1, 35, 9, 22, 13
80, 1, 39, 5, 22, 13
81, 1, 39, 5, 19, 16
82, 1, 38, 6, 16, 19
83, 1, 38, 6, 16, 19
84, 1, 36, 8, 17, 18
85, 1, 28, 16, 27, 8
86, 1, 37, 7, 19, 16
87, 1, 35, 9, 24, 11
88, 1, 38, 6, 21, 14
89, 1, 39, 5, 20, 15
90, 1, 30, 14, 21, 14
91, 1, 35, 9, 23, 12
92, 1, 36, 8, 17, 18
93, 1, 36, 8, 20, 15
94, 1, 36, 8, 25, 10
95, 1, 40, 4, 22, 13
96, 1, 36, 8, 24, 11
97, 1, 37, 7, 24, 11
98, 1, 37, 7, 18, 17
99, 1, 33, 11, 26, 9
100, 1, 38, 6, 23, 12
101, 0, 39, 5, 21, 14
102, 1, 35, 9, 26, 9
103, 1, 40, 4, 20, 15
104, 1, 35, 9, 30, 5
105, 1, 38, 6, 31, 4
106, 1, 35, 9, 27, 8
107, 1, 32, 12, 27, 8
108, 0, 41, 3, 16, 19
109, 1, 36, 8, 26, 9
110, 1, 38, 6, 21, 14
111, 1, 40, 4, 19, 16
112, 1, 38, 6, 27, 8
113, 1, 37, 7, 29, 6
114, 1, 33, 11, 32, 3
115, 1, 39, 5, 28, 7
116, 0, 41, 3, 26, 9
117, 1, 40, 4, 23, 12
118, 1, 39, 5, 21, 14
119, 1, 38, 6, 18, 17
120, 1, 36, 8, 27, 8
121, 1, 38, 6, 32, 3
122, 1, 36, 8, 32, 3
123, 1, 37, 7, 29, 6
124, 1, 39, 5, 28, 7
125, 1, 35, 9, 27, 8
126, 1, 37, 7, 23, 12
127, 1, 28, 16, 29, 6
128, 1, 35, 9, 32, 3
129, 1, 43, 1, 34, 1
130, 1, 42, 2, 35, 0
131, 1, 24, 20, 33, 2
132, 1, 22, 22, 33, 2
133, 1, 40, 4, 32, 3
134, 1, 23, 21, 32, 3
135, 1, 39, 5, 35, 0
136, 1, 44, 0, 34, 1
137, 1, 44, 0, 35, 0
138, 1, 44, 0, 35, 0
139, 1, 44, 0, 35, 0
140, 1, 44, 0, 35, 0
141, 1, 44, 0, 35, 0
142, 1, 44, 0, 35, 0
143, 1, 44, 0, 35, 0
144, 1, 43, 1, 35, 0
145, 0, 44, 0, 0, 35
146, 0, 44, 0, 0, 35
147, 1, 44, 0, 35, 0
148, 1, 44, 0, 35, 0
149, 1, 44, 0, 35, 0
150, 1, 44, 0, 35, 0
151, 1, 44, 0, 35, 0
152, 1, 44, 0, 35, 0
